RNA_cell_ID	Perturbation
CH04.3.cDNA.D2_S238	WT
CH04.3.cDNA.D3_S239	MT
CH04.3.cDNA.D4_S240	WT
CH04.3.cDNA.D5_S241	WT
CH04.3.cDNA.D6_S242	WT
CH04.3.cDNA.D7_S243	WT
CH04.3.cDNA.D8_S244	WT
CH04.3.cDNA.D9_S245	WT
CH04.3.cDNA.E10_S258	MT
CH04.3.cDNA.E11_S259	NG
CH04.3.cDNA.E12_S260	NG
CH04.3.cDNA.E1_S249	WT
CH04.3.cDNA.E2_S250	MT
CH04.3.cDNA.E3_S251	MT
CH04.3.cDNA.E5_S253	NG
CH04.3.cDNA.E6_S254	MT
CH04.3.cDNA.E7_S255	MT
CH04.3.cDNA.E9_S257	MT
CH04.3.cDNA.F10_S270	MT
CH04.3.cDNA.F11_S271	MT
CH04.3.cDNA.F12_S272	NG
CH04.3.cDNA.F1_S261	WT
CH04.3.cDNA.F2_S262	NG
CH04.3.cDNA.F3_S263	MT
CH04.3.cDNA.F5_S265	NG
CH04.3.cDNA.F6_S266	WT
CH04.3.cDNA.F7_S267	WT
CH04.3.cDNA.F8_S268	WT
CH04.3.cDNA.F9_S269	WT
CH04.3.cDNA.G10_S282	WT
CH04.3.cDNA.G11_S283	WT
CH04.3.cDNA.G12_S284	WT
CH04.3.cDNA.G1_S273	WT
CH04.3.cDNA.G2_S274	WT
CH04.3.cDNA.G3_S275	MT
CH04.3.cDNA.G4_S276	WT
CH04.3.cDNA.G5_S277	WT
CH04.3.cDNA.G6_S278	WT
CH04.3.cDNA.G7_S279	WT
CH04.3.cDNA.G8_S280	WT
CH04.3.cDNA.G9_S281	WT
CH04.3.cDNA.H10_S294	WT
CH04.3.cDNA.H11_S295	MT
CH04.3.cDNA.H12_S296	WT
CH04.3.cDNA.H1_S285	WT
CH04.3.cDNA.H2_S286	MT
CH04.3.cDNA.H3_S287	MT
CH04.3.cDNA.H4_S288	MT
CH04.3.cDNA.H5_S289	WT
CH04.3.cDNA.H6_S290	MT
CH04.3.cDNA.H7_S291	WT
CH04.3.cDNA.H8_S292	MT
CH04.3.cDNA.H9_S293	MT
